table_name,column_name,data_type
uf_values,valor,numeric
vista_companias_periodo,total_clp,numeric
vista_companias_periodo,total_uf,numeric
vista_ramos_periodo,total_clp,numeric
vista_ramos_periodo,total_uf,numeric
fusiones,id,integer
fusiones,fecha_fusion,date
vista_corredores_periodo,total_clp,numeric
vista_corredores_periodo,total_uf,numeric
vista_segmentos_companias,primauf,numeric
actores_salientes,id,integer
actores_salientes,fecha_salida,date
vista_segmentos_corredores,primauf,numeric
periodos,id,integer
ramos,id,smallint
companias,id,integer
identifi,id,integer
identifi,region,smallint
intercia,id,integer
intercia,primaclp,numeric
intercia,primauf,numeric
registro_empresa,id,uuid
registro_empresa,created_at,timestamp without time zone
prodramo,id,integer
prodramo,grupo,smallint
prodramo,primaclp,numeric
prodramo,primauf,numeric
memoria_anual_ramos,total_clp,numeric
memoria_anual_ramos,total_uf,numeric
vista_concentracion_mercado,total_clp,numeric
vista_concentracion_mercado,total_uf,numeric
vista_concentracion_mercado,participacion_porcentaje,numeric
vista_concentracion_mercado,varianza_anual,numeric
vista_concentracion_mercado,hhi,numeric
corredores,id,integer
corredores,region,smallint
uf_values,id,integer
vista_segmentos_corredores,rut,character varying
vista_segmentos_corredores,nombre,character varying
vista_companias_periodo,periodo,character
vista_segmentos_corredores,segmento,text
prodramo,rut,character varying
periodos,periodo,character varying
prodramo,signo,character varying
ramos,codigo,character varying
ramos,ramo,character varying
ramos,grupo,character varying
ramos,subgrupo,character varying
ramos,cod,character varying
ramos,codsg,character varying
memoria_anual_ramos,codigo,character varying
companias,rutcia,character varying
companias,nombrecia,character varying
memoria_anual_ramos,ramo,character varying
identifi,rut,character varying
identifi,nombre,character varying
identifi,telefono,character varying
identifi,domicilio,character varying
identifi,ciudad,character varying
corredores,rut,character varying
identifi,tipo_persona,character
identifi,periodo,character
corredores,nombre,character varying
intercia,periodo,character
intercia,rut,character varying
intercia,rutcia,character varying
vista_concentracion_mercado,periodo,character
intercia,nombrecia,character varying
intercia,grupo,character varying
intercia,signo,character varying
vista_concentracion_mercado,grupo,character varying
vista_companias_periodo,nombrecia,character varying
corredores,telefono,character varying
registro_empresa,user_id,text
vista_ramos_periodo,periodo,character
vista_ramos_periodo,ramo,character varying
registro_empresa,email,text
registro_empresa,empresa,text
registro_empresa,rut_empresa,text
fusiones,rutcia_original,character varying
fusiones,rutcia_nueva,character varying
corredores,domicilio,character varying
fusiones,motivo,text
vista_corredores_periodo,periodo,character
vista_corredores_periodo,nombre,character varying
corredores,ciudad,character varying
prodramo,periodo,character
vista_evolucion_mercado,periodo,character
vista_evolucion_mercado,rutcia,character varying
vista_evolucion_mercado,nombrecia,character varying
vista_evolucion_mercado,tipo_cambio,text
vista_evolucion_mercado,motivo,text
vista_evolucion_corredores,periodo,character
vista_evolucion_corredores,rut,character varying
vista_evolucion_corredores,nombre,character varying
vista_evolucion_corredores,tipo_cambio,text
vista_segmentos_companias,periodo,character
vista_segmentos_companias,rutcia,character varying
vista_segmentos_companias,nombrecia,character varying
uf_values,periodo,character varying
